sim_id,income_shock,debt_shock,late_event_prob,auc_roc,f1,recall,precision,default_rate_pred,mean_pd
61,0.7852711742191895,1.0497947852348508,0.05215251103128333,0.8601094332617815,0.41432085269199237,0.568642160540135,0.32588134135855545,0.1163,0.08225429818171251
62,0.9824811950926517,1.031278386392885,0.053377276054585504,0.85991102559483,0.42179675994108984,0.5371342835708928,0.3472356935014549,0.1031,0.07412796651557363
63,0.8492181056040337,1.3499621143187164,0.06829857019160887,0.858348982167061,0.4043179587831207,0.6181545386346586,0.3004010207801677,0.13715,0.09389293737519436
64,0.9540713449654284,1.1019010069712885,0.029463745521100718,0.859999619822457,0.42164283711802636,0.5641410352588146,0.3366159355416294,0.1117,0.0786882861353054
65,0.8270937767811741,1.0945294315158216,0.043239507549339355,0.8601023400972652,0.4142169962586852,0.5813953488372093,0.32171025321710256,0.12045,0.0840904902042192
66,0.8587525275856694,1.153964144934864,0.017085090942369947,0.8597669720639033,0.4098791382028376,0.5851462865716429,0.3154063890012131,0.12365,0.08525346175902085
67,0.8863645284724558,1.1777867467174263,0.04695102423548363,0.8594443435951398,0.4111661883642056,0.5911477869467366,0.3152,0.125,0.08610953111585898
68,0.8853404494760441,1.0065621175685677,0.04363352997066846,0.8615498078194483,0.4266900790166813,0.5468867216804201,0.3498080614203455,0.1042,0.0755727983321796
69,0.9313556240687568,1.0154932963991838,0.03928343350483317,0.86117535705242,0.42384887839433294,0.5386346586646662,0.3493917274939173,0.10275,0.07451465543021432
70,0.9551302196156737,1.097201287310898,0.0591229864470922,0.8595419801004787,0.4201117318435754,0.5641410352588146,0.3346684468179795,0.11235,0.07933477440376493
71,0.7825477774424604,1.046376614902469,0.03250722848506061,0.8600320112706163,0.41565600882028664,0.5656414103525882,0.32854030501089326,0.11475,0.0813081586416856
72,0.9844177191668333,1.2581596468126883,0.027130666193335512,0.8606715213383085,0.4182795698924731,0.5836459114778695,0.3259321323837453,0.11935,0.08308026205789025
73,0.7440236365209821,1.057641512284469,0.05016557450434888,0.8597340179851304,0.4145021645021645,0.5746436609152288,0.32416419805332203,0.11815,0.08288475306443203
74,0.8799595942497278,1.2988777141235244,0.0705186385774548,0.8594736807628274,0.40566741237882176,0.6121530382595649,0.3033457249070632,0.1345,0.09197977800917502
75,0.7303202279909351,1.1068897933914923,0.05823768136990407,0.8596286854967612,0.41162608012568735,0.5896474118529632,0.3161705551086082,0.1243,0.08610068626692728
76,0.8390294548966643,1.0491683297253485,0.04404217786904007,0.8598488950999736,0.41740088105726875,0.568642160540135,0.3297085689430187,0.11495,0.08146300543563652
77,0.9244758375452948,1.132264412326105,0.07403276654862649,0.860613309163794,0.4119708816392559,0.5731432858214554,0.32154882154882153,0.1188,0.08306366047801957
78,0.9575261810382212,1.189279223432772,0.056054460328313335,0.8596955782578795,0.4164427727028479,0.5813953488372093,0.32440351611552953,0.11945,0.08310673163638116
79,0.7822039529942798,1.0408469133984877,0.06694883939331077,0.859705243448056,0.41566265060240964,0.5693923480870218,0.32729624838292365,0.11595,0.08215686179999318
80,0.9381590489884695,1.0564864726555652,0.07347656893536732,0.8600149716006169,0.41882750845546785,0.5573893473368342,0.33544018058690744,0.11075,0.07867099059450332
81,0.9447001125853849,1.3247681005763765,0.07118633630908744,0.8593138936686815,0.41228070175438597,0.5993998499624906,0.3141958316948486,0.12715,0.08809223585055048
82,0.7179777096097542,1.0605873152536052,0.0590170686210706,0.8597578092224883,0.4130317716747442,0.5753938484621155,0.3221335573288534,0.11905,0.08370521424354223
83,0.7595906866028576,1.237872752193312,0.07208766582069838,0.8596313780861242,0.40138237472229077,0.6099024756189048,0.29911699779249445,0.1359,0.09222479599966293
84,0.8210853582655953,1.1598299594896369,0.033226012108438285,0.8597396844791634,0.40856844305120166,0.5866466616654163,0.31342685370741485,0.12475,0.08672623292861677
85,0.8522433661449803,1.112832892498255,0.01614460592450307,0.8609215302700695,0.4143853998926463,0.5791447861965492,0.3226076055160886,0.11965,0.08356212950961439
86,0.8433771979423017,1.0633735765130796,0.058467400137767606,0.8596743590461821,0.4148067501360915,0.5716429107276819,0.3255019222554464,0.11705,0.08257565936079123
87,0.7595570608871933,1.137895460250641,0.039901610589826796,0.8596249078340726,0.41083051288726896,0.5918979744936234,0.3145933014354067,0.1254,0.08644234542947825
88,0.7104138584981174,1.2499303867706446,0.04820665964364742,0.8590206224615564,0.40465577018325904,0.6129032258064516,0.3020332717190388,0.13525,0.09266363115194386
89,0.9173645120713652,1.2722698989215484,0.03366295614772682,0.8598692301778503,0.41081081081081083,0.5986496624156039,0.3126959247648903,0.1276,0.08765167601672647
90,0.7419401111842548,1.065291058086885,0.06308585724881893,0.8610122142685455,0.4127408993576017,0.5783945986496624,0.3208489388264669,0.12015,0.08385867116925838
91,0.7102012556145249,1.1297022712695313,0.05220575520809565,0.8592594792508059,0.4117341640706127,0.5948987246811703,0.314807463279079,0.12595,0.0873819043279937
92,0.7549352176471336,1.0051301504637402,0.04457212291159676,0.8600948048658384,0.42754249495822527,0.5566391597899475,0.3470533208606174,0.1069,0.07748434004801352
93,0.8277415649249784,1.3059135321774018,0.012842429833840662,0.859558497327766,0.4015884834946637,0.6069017254313578,0.3000741839762611,0.1348,0.09183095532310133
94,0.7169709859621305,1.028250265700441,0.06658912637356994,0.8606112193929449,0.4224114254325735,0.5768942235558889,0.3331889081455806,0.1154,0.08186338895372089
95,0.7494444298756697,1.0818273191310952,0.037285279025149436,0.8602711091872716,0.41170155662909286,0.5753938484621155,0.3205181780192227,0.11965,0.08366877810594289
96,0.8278845527405514,1.3477345089011084,0.051710839635719735,0.8586502909543747,0.400390625,0.6151537884471118,0.2967788635541079,0.13815,0.09378626668594998
97,0.9382332495885268,1.0968752873184662,0.07283352351668537,0.8606962569913383,0.416,0.5656414103525882,0.32897033158813266,0.1146,0.08076932236390665
