tn,fp,fn,tp,precision,recall,f1,accuracy,threshold,expected_loss
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.7799999999999997,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.7849999999999997,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.7899999999999997,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.7949999999999997,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.7999999999999997,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.8049999999999997,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.8099999999999996,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.8149999999999996,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.8199999999999996,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.8249999999999996,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.8299999999999996,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.8349999999999996,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.8399999999999996,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.8449999999999996,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.8499999999999996,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.8549999999999996,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.8599999999999997,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.8649999999999997,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.8699999999999997,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.8749999999999997,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.8799999999999997,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.8849999999999997,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.8899999999999997,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.8949999999999996,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.8999999999999996,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.9049999999999996,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.9099999999999996,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.9149999999999996,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.9199999999999996,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.9249999999999996,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.9299999999999996,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.9349999999999996,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.9399999999999996,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.9449999999999996,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.9499999999999996,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.9549999999999996,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.9599999999999996,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.9649999999999996,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.9699999999999995,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.9749999999999995,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.9799999999999995,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.9849999999999995,4226.098835570397
41786,0,4331,0,0.0,0.0,0.0,0.9060866925428801,0.9899999999999995,4226.098835570397
